Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 21:28:11,27-03-2024 21:28:12,0.974s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 21:28:12,27-03-2024 21:28:14,1.982s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 21:28:14,27-03-2024 21:28:15,0.612s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 21:28:15,27-03-2024 21:28:15,0.333s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 21:28:15,27-03-2024 21:28:45,30.035s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 21:28:45,27-03-2024 21:28:45,0.153s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 21:28:45,27-03-2024 21:28:50,4.973s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 21:28:45,27-03-2024 21:28:46,0.675s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 21:28:46,27-03-2024 21:28:47,0.796s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 21:28:47,27-03-2024 21:28:49,1.869s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 21:28:49,27-03-2024 21:28:49,0.616s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 21:28:49,27-03-2024 21:28:50,0.363s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 21:28:50,27-03-2024 21:28:50,0.506s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 21:28:50,27-03-2024 21:28:50,0.133s,PASSED
